date,symbol,company,sector,sub_industry,headquarters,founded,open,high,low,close,volume,return_1d_pct,return_5d_pct,return_1m_pct,return_1y_pct,avg_volume_30d,volume_vs_30d_avg,high_52w,drawdown_from_52w_high_pct,dip_flag
2021-01-04,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,129.62,129.71,123.06,125.63,143301900.0,,,,,,,,,False
2021-01-05,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,125.13,127.89,124.68,127.19,97664900.0,1.24,,,,,,,,False
2021-01-06,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.99,127.22,122.69,122.9,155088000.0,-3.37,,,,,,,,False
2021-01-07,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.61,127.79,124.13,127.1,109578200.0,3.41,,,,,,,,False
2021-01-08,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,128.56,128.76,126.43,128.2,105158200.0,0.86,,,,,,,,False
2021-01-11,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,125.42,126.37,124.75,125.22,100384500.0,-2.32,-0.33,,,,,,,False
2021-01-12,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.75,125.9,123.16,125.04,91951100.0,-0.14,-1.69,,,,,,,False
2021-01-13,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,125.0,127.61,124.74,127.07,88636800.0,1.62,3.39,,,,,,,False
2021-01-14,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,126.98,127.18,125.0,125.15,90221800.0,-1.51,-1.54,,,,,,,False
2021-01-15,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,125.02,126.42,123.29,123.43,111598500.0,-1.37,-3.72,,,109358390.0,1.02,,,False
2021-01-19,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.05,124.95,123.23,124.1,90757300.0,0.54,-0.89,,,107667382.0,0.84,,,False
2021-01-20,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.9,128.62,124.8,128.18,104319500.0,3.29,2.51,,,107388392.0,0.97,,,False
2021-01-21,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,129.89,135.59,129.69,132.87,120150900.0,3.67,4.57,,,108370123.0,1.11,,,False
2021-01-22,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,132.3,135.77,131.08,135.01,114459400.0,1.61,7.88,,,108805071.0,1.05,,,False
2021-01-25,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,138.89,140.85,132.55,138.75,157611700.0,2.77,12.41,,,112058847.0,1.41,,,False
2021-01-26,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,139.41,140.09,137.24,138.98,98390600.0,0.17,11.99,,,111204581.0,0.88,,,False
2021-01-27,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,139.24,140.09,136.31,137.91,140843800.0,-0.77,7.6,,,112948065.0,1.25,,,False
2021-01-28,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,135.45,137.85,132.71,133.09,142621100.0,-3.5,0.16,,,114596567.0,1.24,,,False
2021-01-29,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,131.87,132.75,126.41,128.11,177523800.0,-3.74,-5.11,,,117908526.0,1.51,,,False
2021-02-01,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,129.85,131.43,127.11,130.22,106239800.0,1.65,-6.14,,,117325090.0,0.91,,,False
2021-02-02,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,131.77,132.33,130.68,131.05,83305400.0,0.63,-5.71,,,115705105.0,0.72,,,False
2021-02-03,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,131.8,131.81,129.71,130.03,89880900.0,-0.78,-5.72,3.5,,114531277.0,0.78,,,False
2021-02-04,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,132.32,133.39,130.66,133.38,84183100.0,2.58,0.22,4.87,,113211791.0,0.74,,,False
2021-02-05,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,133.54,133.61,132.09,132.97,75693800.0,-0.31,3.79,8.19,,111648542.0,0.68,,,False
